;2023.12.21;2023.12.22;2023.12.23;2023.12.24;2023.12.25;2023.12.26;2023.12.27;2023.12.28;2023.12.29;2023.12.30;2023.12.31;2024.01.01;2024.01.02;2024.01.03;2024.01.04;2024.01.05;2024.01.06;2024.01.07;2024.01.08;2024.01.09;2024.01.10;2024.01.11;2024.01.12;2024.01.13;2024.01.14;2024.01.15;2024.01.16;2024.01.17
386697;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1750;1750;1750;1750;2333,333333;2333,333333;2333,333333;2266,666667;2266,666667;2266,666667;800;800;800;800;1400;1400;1400;875;875;875;875
386697;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1750;1750;1750;1750;2333,333333;2333,333333;2333,333333;1826,923077;1826,923077;1826,923077;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;624,0384615;624,0384615;624,0384615;624,0384615
