,386683,386683
17.06.2023,650,425
18.06.2023,650,425
19.06.2023,650,425
20.06.2023,650,425
21.06.2023,650,425
22.06.2023,650,425
23.06.2023,650,425
24.06.2023,650,425
25.06.2023,650,425
26.06.2023,650,425
