;2024.12.01;2024.12.02;2024.12.03;2024.12.04;2024.12.05;2024.12.06;2024.12.07;2024.12.08;2024.12.09;2024.12.10;2024.12.11;2024.12.12;2024.12.13;2024.12.14;2024.12.15;2024.12.16;2024.12.17;2024.12.18;2024.12.19;2024.12.20;2024.12.21;2024.12.22;2024.12.23;2024.12.24;2024.12.25;2024.12.26;2024.12.27;2024.12.28;2024.12.29;2024.12.30;2024.12.31;2025.01.01;2025.01.02;2025.01.03;2025.01.04;2025.01.05;2025.01.06;2025.01.07;2025.01.08;2025.01.09;2025.01.10;2025.01.11;2025.01.12;2025.01.13;2025.01.14;2025.01.15;2025.01.16;2025.01.17;2025.01.18;2025.01.19;2025.01.20;2025.01.21;2025.01.22;2025.01.23;2025.01.24;2025.01.25;2025.01.26;2025.01.27;2025.01.28;2025.01.29;2025.01.30;2025.01.31;2025.02.01;2025.02.02;2025.02.03;2025.02.04;2025.02.05;2025.02.06;2025.02.07;2025.02.08;2025.02.09;2025.02.10;2025.02.11;2025.02.12;2025.02.13;2025.02.14;2025.02.15;2025.02.16;2025.02.17;2025.02.18;2025.02.19;2025.02.20;2025.02.21;2025.02.22;2025.02.23;2025.02.24;2025.02.25;2025.02.26;2025.02.27;2025.02.28;2025.03.01;2025.03.02;2025.03.03;2025.03.04;2025.03.05;2025.03.06;2025.03.07;2025.03.08;2025.03.09;2025.03.10;2025.03.11;2025.03.12;2025.03.13;2025.03.14;2025.03.15;2025.03.16;2025.03.17;2025.03.18;2025.03.19;2025.03.20;2025.03.21;2025.03.22;2025.03.23;2025.03.24;2025.03.25;2025.03.26;2025.03.27;2025.03.28;2025.03.29;2025.03.30;2025.03.31;2025.04.01;2025.04.02;2025.04.03;2025.04.04;2025.04.05;2025.04.06;2025.04.07;2025.04.08;2025.04.09;2025.04.10;2025.04.11;2025.04.12;2025.04.13;2025.04.14;2025.04.15;2025.04.16;2025.04.17;2025.04.18;2025.04.19;2025.04.20;2025.04.21;2025.04.22;2025.04.23;2025.04.24;2025.04.25;2025.04.26;2025.04.27;2025.04.28;2025.04.29;2025.04.30;2025.05.01;2025.05.02;2025.05.03
510453;675;675;675;675;1233,333333;1233,333333;1233,333333;800;800;800;800;1500;1500;1500;800;800;800;800;1500;1500;1500;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;2062,5;2062,5;2062,5;2062,5;2750;2750;2750;875;875;875;875;1633,333333;1633,333333;1633,333333;950;950;950;950;1733,333333;1733,333333;1733,333333;1050;1050;1050;1050;1966,666667;1966,666667;1966,666667;1175;1175;1175;1175;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2233,333333;2233,333333;2233,333333;2475;2475;2475;2475;3300;3300;3300;2625;2625;2625;2625;3500;3500;3500;2725;2725;2725;2725;3633,333333;3633,333333;3633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;1375;1375;1375;1375;2500;2500;2500;1300;1300;1300;1300;2400;2400;2400;1175;1175;1175;1175;2166,666667;2166,666667;2166,666667;1125;1125;1125;1125;2066,666667;2066,666667;2066,666667;1322,115385;1322,115385;1322,115385;1322,115385;2403,846154;2403,846154;2403,846154;975;975;975;975;1833,333333;1833,333333;1833,333333;750;750;750;750;1166,666667;1166,666667;1166,666667
510453;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;2062,5;2062,5;2062,5;2062,5;2750;2750;2750;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;1937,5;1937,5;1937,5;1937,5;2583,333333;2583,333333;2583,333333;1987,5;1987,5;1987,5;1987,5;2650;2650;2650;2062,5;2062,5;2062,5;2062,5;2750;2750;2750;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;1047,115385;1047,115385;1047,115385;1047,115385;1903,846154;1903,846154;1903,846154;1004,807692;1004,807692;1004,807692;1004,807692;1826,923077;1826,923077;1826,923077;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1322,115385;1322,115385;1322,115385;1322,115385;2403,846154;2403,846154;2403,846154;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;475,9615385;475,9615385;475,9615385;475,9615385;865,3846154;865,3846154;865,3846154
386697;625;625;625;625;1133,333333;1133,333333;1133,333333;700;700;700;700;1300;1300;1300;700;700;700;700;1300;1300;1300;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1862,5;1862,5;1862,5;1862,5;2483,333333;2483,333333;2483,333333;725;725;725;725;1400;1400;1400;850;850;850;850;1600;1600;1600;925;925;925;925;1733,333333;1733,333333;1733,333333;1050;1050;1050;1050;1966,666667;1966,666667;1966,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;2375;2375;2375;2375;3166,666667;3166,666667;3166,666667;2450;2450;2450;2450;3266,666667;3266,666667;3266,666667;1300,00;1300,00;1300,00;1300,00;2300,00;2300,00;2300,00;1300,00;1300,00;1300,00;1300,00;2300,00;2300,00;2300,00;1225,00;1225,00;1225,00;1225,00;2166,67;2166,67;2166,67;1175,00;1175,00;1175,00;1175,00;2066,67;2066,67;2066,67;1050,00;1050,00;1050,00;1050,00;1900,00;1900,00;1900,00;925,00;925,00;925,00;925,00;1733,33;1733,33;1733,33;1625,00;1625,00;1625,00;1625,00;2966,67;2966,67;2966,67;725,00;725,00;725,00;725,00;1400,00;1400,00;1400,00;750,00;750,00;750,00;750,00;1233,33;1233,33;1233,33
386697;475,9615385;475,9615385;475,9615385;475,9615385;865,3846154;865,3846154;865,3846154;550;550;550;550;1000;1000;1000;550;550;550;550;1000;1000;1000;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1862,5;1862,5;1862,5;1862,5;2483,333333;2483,333333;2483,333333;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;624,0384615;624,0384615;624,0384615;624,0384615;1134,615385;1134,615385;1134,615385;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;1812,5;1812,5;1812,5;1812,5;2416,666667;2416,666667;2416,666667;1862,5;1862,5;1862,5;1862,5;2483,333333;2483,333333;2483,333333;1004,81;1004,81;1004,81;1004,81;1826,92;1826,92;1826,92;1004,81;1004,81;1004,81;1004,81;1826,92;1826,92;1826,92;941,35;941,35;941,35;941,35;1711,54;1711,54;1711,54;899,04;899,04;899,04;899,04;1634,62;1634,62;1634,62;835,58;835,58;835,58;835,58;1519,23;1519,23;1519,23;729,81;729,81;729,81;729,81;1326,92;1326,92;1326,92;1258,65;1258,65;1258,65;1258,65;2288,46;2288,46;2288,46;581,73;581,73;581,73;581,73;1057,69;1057,69;1057,69;475,96;475,96;475,96;475,96;865,38;865,38;865,38
371906;600;600;600;600;1066,666667;1066,666667;1066,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;725;725;725;725;1400;1400;1400;875;875;875;875;1633,333333;1633,333333;1633,333333;925;925;925;925;1733,333333;1733,333333;1733,333333;1100;1100;1100;1100;1933,333333;1933,333333;1933,333333;2125;2125;2125;2125;2833,333333;2833,333333;2833,333333;2175;2175;2175;2175;2900;2900;2900;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;900;900;900;900;1633,333333;1633,333333;1633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;966,6666667;966,6666667;966,6666667
371906;444,2307692;444,2307692;444,2307692;444,2307692;807,6923077;807,6923077;807,6923077;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1612,5;1612,5;1612,5;1612,5;2150;2150;2150;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;687,5;687,5;687,5;687,5;1250;1250;1250;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;412,5;412,5;412,5;412,5;750;750;750
526637;600;600;600;600;1066,666667;1066,666667;1066,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;725;725;725;725;1400;1400;1400;875;875;875;875;1633,333333;1633,333333;1633,333333;925;925;925;925;1733,333333;1733,333333;1733,333333;1100;1100;1100;1100;1933,333333;1933,333333;1933,333333;2125;2125;2125;2125;2833,333333;2833,333333;2833,333333;2175;2175;2175;2175;2900;2900;2900;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;900;900;900;900;1633,333333;1633,333333;1633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;966,6666667;966,6666667;966,6666667
526637;444,2307692;444,2307692;444,2307692;444,2307692;807,6923077;807,6923077;807,6923077;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1612,5;1612,5;1612,5;1612,5;2150;2150;2150;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;687,5;687,5;687,5;687,5;1250;1250;1250;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;412,5;412,5;412,5;412,5;750;750;750
386692;600;600;600;600;1066,666667;1066,666667;1066,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;725;725;725;725;1400;1400;1400;875;875;875;875;1633,333333;1633,333333;1633,333333;925;925;925;925;1733,333333;1733,333333;1733,333333;1100;1100;1100;1100;1933,333333;1933,333333;1933,333333;2125;2125;2125;2125;2833,333333;2833,333333;2833,333333;2175;2175;2175;2175;2900;2900;2900;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;900;900;900;900;1633,333333;1633,333333;1633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;966,6666667;966,6666667;966,6666667
386692;444,2307692;444,2307692;444,2307692;444,2307692;807,6923077;807,6923077;807,6923077;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1612,5;1612,5;1612,5;1612,5;2150;2150;2150;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;687,5;687,5;687,5;687,5;1250;1250;1250;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;412,5;412,5;412,5;412,5;750;750;750
