;2023.12.21;2023.12.22;2023.12.23;2023.12.24;2023.12.25;2023.12.26;2023.12.27;2023.12.28
386697;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1750
386697;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1750
