;2024.12.08;2024.12.09;2024.12.10;2024.12.11;2024.12.12;2024.12.13;2024.12.14;2024.12.15;2024.12.16;2024.12.17;2024.12.18;2024.12.19;2024.12.20;2024.12.21;2024.12.22;2024.12.23;2024.12.24;2024.12.25;2024.12.26;2024.12.27;2024.12.28;2024.12.29;2024.12.30;2024.12.31;2025.01.01;2025.01.02;2025.01.03;2025.01.04;2025.01.05;2025.01.06;2025.01.07;2025.01.08;2025.01.09;2025.01.10;2025.01.11;2025.01.12;2025.01.13;2025.01.14;2025.01.15;2025.01.16;2025.01.17;2025.01.18;2025.01.19;2025.01.20;2025.01.21;2025.01.22;2025.01.23;2025.01.24;2025.01.25;2025.01.26;2025.01.27;2025.01.28;2025.01.29;2025.01.30;2025.01.31;2025.02.01;2025.02.02;2025.02.03;2025.02.04;2025.02.05;2025.02.06;2025.02.07;2025.02.08;2025.02.09;2025.02.10;2025.02.11;2025.02.12;2025.02.13;2025.02.14;2025.02.15;2025.02.16;2025.02.17;2025.02.18;2025.02.19;2025.02.20;2025.02.21;2025.02.22;2025.02.23;2025.02.24;2025.02.25;2025.02.26;2025.02.27;2025.02.28;2025.03.01;2025.03.02;2025.03.03;2025.03.04;2025.03.05;2025.03.06;2025.03.07;2025.03.08;2025.03.09;2025.03.10;2025.03.11;2025.03.12;2025.03.13;2025.03.14;2025.03.15;2025.03.16;2025.03.17;2025.03.18;2025.03.19;2025.03.20;2025.03.21;2025.03.22;2025.03.23;2025.03.24;2025.03.25;2025.03.26;2025.03.27;2025.03.28;2025.03.29;2025.03.30;2025.03.31;2025.04.01;2025.04.02;2025.04.03;2025.04.04;2025.04.05;2025.04.06;2025.04.07;2025.04.08;2025.04.09;2025.04.10;2025.04.11;2025.04.12;2025.04.13;2025.04.14;2025.04.15;2025.04.16;2025.04.17;2025.04.18;2025.04.19;2025.04.20;2025.04.21;2025.04.22;2025.04.23;2025.04.24;2025.04.25;2025.04.26
386697;725;725;725;725;1400;1400;1400;725;725;725;725;1400;1400;1400;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1862,5;1862,5;1862,5;1862,5;2483,333333;2483,333333;2483,333333;725;725;725;725;1400;1400;1400;850;850;850;850;1600;1600;1600;925;925;925;925;1733,333333;1733,333333;1733,333333;1050;1050;1050;1050;1966,666667;1966,666667;1966,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;2375;2375;2375;2375;3166,666667;3166,666667;3166,666667;2450;2450;2450;2450;3266,666667;3266,666667;3266,666667;1300;1300;1300;1300;2300;2300;2300;1300;1300;1300;1300;2300;2300;2300;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;1625;1625;1625;1625;2966,666667;2966,666667;2966,666667;725;725;725;725;1400;1400;1400
386697;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1862,5;1862,5;1862,5;1862,5;2483,333333;2483,333333;2483,333333;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;624,0384615;624,0384615;624,0384615;624,0384615;1134,615385;1134,615385;1134,615385;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;1812,5;1812,5;1812,5;1812,5;2416,666667;2416,666667;2416,666667;1862,5;1862,5;1862,5;1862,5;2483,333333;2483,333333;2483,333333;1004,807692;1004,807692;1004,807692;1004,807692;1826,923077;1826,923077;1826,923077;1004,807692;1004,807692;1004,807692;1004,807692;1826,923077;1826,923077;1826,923077;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;1258,653846;1258,653846;1258,653846;1258,653846;2288,461538;2288,461538;2288,461538;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308
371906;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;725;725;725;725;1400;1400;1400;875;875;875;875;1633,333333;1633,333333;1633,333333;925;925;925;925;1733,333333;1733,333333;1733,333333;1100;1100;1100;1100;1933,333333;1933,333333;1933,333333;2125;2125;2125;2125;2833,333333;2833,333333;2833,333333;2175;2175;2175;2175;2900;2900;2900;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;900;900;900;900;1633,333333;1633,333333;1633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;675;675;675;675;1233,333333;1233,333333;1233,333333
371906;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1612,5;1612,5;1612,5;1612,5;2150;2150;2150;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;687,5;687,5;687,5;687,5;1250;1250;1250;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923
386692;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;725;725;725;725;1400;1400;1400;875;875;875;875;1633,333333;1633,333333;1633,333333;925;925;925;925;1733,333333;1733,333333;1733,333333;1100;1100;1100;1100;1933,333333;1933,333333;1933,333333;2125;2125;2125;2125;2833,333333;2833,333333;2833,333333;2175;2175;2175;2175;2900;2900;2900;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;900;900;900;900;1633,333333;1633,333333;1633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;675;675;675;675;1233,333333;1233,333333;1233,333333
386692;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1612,5;1612,5;1612,5;1612,5;2150;2150;2150;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;687,5;687,5;687,5;687,5;1250;1250;1250;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923
386693;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;725;725;725;725;1400;1400;1400;875;875;875;875;1633,333333;1633,333333;1633,333333;925;925;925;925;1733,333333;1733,333333;1733,333333;1100;1100;1100;1100;1933,333333;1933,333333;1933,333333;2125;2125;2125;2125;2833,333333;2833,333333;2833,333333;2175;2175;2175;2175;2900;2900;2900;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;900;900;900;900;1633,333333;1633,333333;1633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;675;675;675;675;1233,333333;1233,333333;1233,333333
386693;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1612,5;1612,5;1612,5;1612,5;2150;2150;2150;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;687,5;687,5;687,5;687,5;1250;1250;1250;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923
386700;675;675;675;675;1233,333333;1233,333333;1233,333333;675;675;675;675;1233,333333;1233,333333;1233,333333;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;675;675;675;675;1233,333333;1233,333333;1233,333333;725;725;725;725;1400;1400;1400;875;875;875;875;1633,333333;1633,333333;1633,333333;925;925;925;925;1733,333333;1733,333333;1733,333333;1100;1100;1100;1100;1933,333333;1933,333333;1933,333333;2125;2125;2125;2125;2833,333333;2833,333333;2833,333333;2175;2175;2175;2175;2900;2900;2900;2225;2225;2225;2225;2966,666667;2966,666667;2966,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1225;1225;1225;1225;2166,666667;2166,666667;2166,666667;1175;1175;1175;1175;2066,666667;2066,666667;2066,666667;1050;1050;1050;1050;1900;1900;1900;925;925;925;925;1733,333333;1733,333333;1733,333333;900;900;900;900;1633,333333;1633,333333;1633,333333;1475;1475;1475;1475;2733,333333;2733,333333;2733,333333;675;675;675;675;1233,333333;1233,333333;1233,333333
386700;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;1562,5;1562,5;1562,5;1562,5;2083,333333;2083,333333;2083,333333;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923;581,7307692;581,7307692;581,7307692;581,7307692;1057,692308;1057,692308;1057,692308;687,5;687,5;687,5;687,5;1250;1250;1250;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;1612,5;1612,5;1612,5;1612,5;2150;2150;2150;1687,5;1687,5;1687,5;1687,5;2250;2250;2250;1737,5;1737,5;1737,5;1737,5;2316,666667;2316,666667;2316,666667;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;941,3461538;941,3461538;941,3461538;941,3461538;1711,538462;1711,538462;1711,538462;899,0384615;899,0384615;899,0384615;899,0384615;1634,615385;1634,615385;1634,615385;835,5769231;835,5769231;835,5769231;835,5769231;1519,230769;1519,230769;1519,230769;729,8076923;729,8076923;729,8076923;729,8076923;1326,923077;1326,923077;1326,923077;687,5;687,5;687,5;687,5;1250;1250;1250;1152,884615;1152,884615;1152,884615;1152,884615;2096,153846;2096,153846;2096,153846;518,2692308;518,2692308;518,2692308;518,2692308;942,3076923;942,3076923;942,3076923
