,2023.12.21,2023.12.22,2023.12.23,2023.12.24,2023.12.25,2023.12.26,2023.12.27,2023.12.28,2023.12.29,2023.12.30,2023.12.31,2024.01.01,2024.01.02,2024.01.03,2024.01.04,2024.01.05,2024.01.06,2024.01.07,2024.01.08,2024.01.09,2024.01.10,2024.01.11,2024.01.12,2024.01.13,2024.01.14,2024.01.15,2024.01.16,2024.01.17,2024.01.18,2024.01.19,2024.01.20,2024.01.21,2024.01.22,2024.01.23,2024.01.24,2024.01.25,2024.01.26,2024.01.27,2024.01.28,2024.01.29,2024.01.30,2024.01.31,2024.02.01,2024.02.02,2024.02.03,2024.02.04,2024.02.05,2024.02.06,2024.02.07,2024.02.08,2024.02.09,2024.02.10,2024.02.11,2024.02.12,2024.02.13,2024.02.14,2024.02.15,2024.02.16,2024.02.17,2024.02.18,2024.02.19,2024.02.20,2024.02.21,2024.02.22,2024.02.23,2024.02.24,2024.02.25,2024.02.26,2024.02.27,2024.02.28,2024.02.29,2024.03.01,2024.03.02,2024.03.03,2024.03.04,2024.03.05,2024.03.06,2024.03.07,2024.03.08,2024.03.09,2024.03.10,2024.03.11,2024.03.12,2024.03.13,2024.03.14,2024.03.15,2024.03.16,2024.03.17,2024.03.18,2024.03.19,2024.03.20,2024.03.21,2024.03.22,2024.03.23,2024.03.24,2024.03.25,2024.03.26,2024.03.27,2024.03.28,2024.03.29,2024.03.30,2024.03.31,2024.04.01,2024.04.02,2024.04.03,2024.04.04,2024.04.05,2024.04.06,2024.04.07,2024.04.08,2024.04.09,2024.04.10,2024.04.11,2024.04.12,2024.04.13,2024.04.14,2024.04.15,2024.04.16,2024.04.17,2024.04.18,2024.04.19,2024.04.20
386697,1562.5,1562.5,1562.5,1562.5,2083.333333,2083.333333,2083.333333,1750,1750,1750,1750,2333.333333,2333.333333,2333.333333,2266.666667,2266.666667,2266.666667,800,800,800,800,1400,1400,1400,875,875,875,875,1600,1600,1600,975,975,975,975,1733.333333,1733.333333,1733.333333,1050,1050,1050,1050,1966.666667,1966.666667,1966.666667,1225,1225,1225,1225,2166.666667,2166.666667,2166.666667,2225,2225,2225,2225,2966.666667,2966.666667,2966.666667,2300,2300,2300,2300,3066.666667,3066.666667,3066.666667,2375,2375,2375,2375,3166.666667,3166.666667,3166.666667,1062.5,1062.5,1062.5,1062.5,1416.666667,1416.666667,1416.666667,1375,1375,1375,1375,2400,2400,2400,1375,1375,1375,1375,2400,2400,2400,1737.5,1737.5,1737.5,1737.5,2316.666667,2316.666667,2316.666667,1737.5,1737.5,1737.5,1737.5,2316.666667,2316.666667,2316.666667,975,975,975,975,1733.333333,1733.333333,1733.333333,800,800,800,800,1500,1500,1500
386697,1562.5,1562.5,1562.5,1562.5,2083.333333,2083.333333,2083.333333,1750,1750,1750,1750,2333.333333,2333.333333,2333.333333,1826.923077,1826.923077,1826.923077,581.7307692,581.7307692,581.7307692,581.7307692,1057.692308,1057.692308,1057.692308,624.0384615,624.0384615,624.0384615,624.0384615,1134.615385,1134.615385,1134.615385,687.5,687.5,687.5,687.5,1250,1250,1250,793.2692308,793.2692308,793.2692308,793.2692308,1442.307692,1442.307692,1442.307692,867.3076923,867.3076923,867.3076923,867.3076923,1576.923077,1576.923077,1576.923077,1687.5,1687.5,1687.5,1687.5,2250,2250,2250,1737.5,1737.5,1737.5,1737.5,2316.666667,2316.666667,2316.666667,1812.5,1812.5,1812.5,1812.5,2416.666667,2416.666667,2416.666667,1062.5,1062.5,1062.5,1062.5,1416.666667,1416.666667,1416.666667,1004.807692,1004.807692,1004.807692,1004.807692,1826.923077,1826.923077,1826.923077,1004.807692,1004.807692,1004.807692,1004.807692,1826.923077,1826.923077,1826.923077,1737.5,1737.5,1737.5,1737.5,2316.666667,2316.666667,2316.666667,1737.5,1737.5,1737.5,1737.5,2316.666667,2316.666667,2316.666667,687.5,687.5,687.5,687.5,1250,1250,1250,581.7307692,581.7307692,581.7307692,581.7307692,1057.692308,1057.692308,1057.692308
